nome;tipo;marca;categoria;cor;modelo
ColoraÁ„o ImÈdia Excellence Creme 6.88 Mel Tabaco - L'oreal;Tintura;L'OrÈal;CosmÈticos e Perfumaria;None;None
Azeite Limonolio Timelles 250ml - Colavita;Azeite;Colavita;None;None;None
FORNO MICROONDAS PANASONIC NNGD587SRUK 27 LITROS INOX 220V;Microondas;Panasonic;EletrodomÈsticos;None;None
Frigideira Duo de AÁo Inox com Cabo 20 cm - Tramontina;Frigideira;Tramontina;Casa e DecoraÁ„o;Inox;None
Jogo c/6 Copos de Vidro CafÈ/Cocktail Small Barista 120ml - Durobor;Game;Durobor;None;None;None
Forno ElÈtrico 40 Litros BOG40AE Port·til Preto 220v - Brastemp;Forno;Brastemp;EletrodomÈsticos;None;None
Conjunto de Talheres Munique Branco 24 PeÁas com Necessaire Pl·stica - Tramontina;Conjunto de Talheres;Tramontina;Casa e DecoraÁ„o;Branco;None
Royal Canin Mini Indoor Mature Pacote 1 Kg;RaÁ„o;Royal Canin;None;None;None
Colcha boutis espanha queen estampado corttexcasa;Colcha;Corttex;Casa e DecoraÁ„o;None;None
Pedaleira para Guitarra - PODHD - Line6;Pedaleira;Linea6;None;None;None
Greatest Hits - Spirit of Radio (1974-1987) - Rush;Aparelho de Som;Spirit;EletrÙnicos;None;None
Cadeira 00022 xrocker ii colors vm/cz xrocker;Cadeira;Rocker;Casa e DecoraÁ„o;None;None
Ventilador Torre Refresh T - 700 - Branco / Verde - Spirit;Ventilador;Spirit;EletrodomÈsticos;None;None
Saboneteira de Metal LorenLuna 2008 C41 - Lorenzetti;Saboneteira;Lorenzetti;Casa e DecoraÁ„o;None;None
Interruptor Paralelo Linha Lux - Tramontina;Interruptor;Tramontina;ConstruÁ„o e Ferramentas;None;None
Cooler DC 24 latas Santos - Doctor Cooler;Cooler;Doctor Cooler;Casa e DecoraÁ„o;None;None
CCE LED24TV LED Plana 24 Polegadas;TV;CCE;EletrÙnicos;None;led24tv
